run_id,commit_sha,partition,scene_id,fault_id,fault_family,method,seed,expected_rules,observed_rules,true_positive,false_positive,false_negative,detected,valid_repair,incorrect_repair,escalated,validation_ms,repair_ms
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsupported_generated_friction,provenance,direct-conversion,0,CSR-SCN-023,,0,0,1,0,0,0,0,0.001764,0.0
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsupported_generated_friction,provenance,fixed-rule-repair,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.10686,0.282139
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsupported_generated_friction,provenance,ablation-no-provenance,0,CSR-SCN-023,,0,0,1,0,0,1,0,0.03548,0.200219
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsupported_generated_friction,provenance,ablation-no-task-validator,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.050983,0.246998
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsupported_generated_friction,provenance,ablation-fixed-repair-order,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.049837,0.246398
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsafe_payload_path,composition,direct-conversion,0,CSR-SCN-029,,0,0,1,0,0,0,0,0.001258,0.0
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsafe_payload_path,composition,fixed-rule-repair,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.047299,0.250737
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsafe_payload_path,composition,ablation-no-provenance,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.041671,0.223695
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsafe_payload_path,composition,ablation-no-task-validator,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.050072,0.249303
B-CPU-DETREp-0001,fb93389,challenge,connection_plate_positioning__v001,unsafe_payload_path,composition,ablation-fixed-repair-order,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.049135,0.253484
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsupported_generated_friction,provenance,direct-conversion,0,CSR-SCN-023,,0,0,1,0,0,0,0,0.001167,0.0
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsupported_generated_friction,provenance,fixed-rule-repair,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.052693,0.255981
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsupported_generated_friction,provenance,ablation-no-provenance,0,CSR-SCN-023,,0,0,1,0,0,1,0,0.032244,0.200176
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsupported_generated_friction,provenance,ablation-no-task-validator,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.048248,0.252903
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsupported_generated_friction,provenance,ablation-fixed-repair-order,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.050562,0.249978
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsafe_payload_path,composition,direct-conversion,0,CSR-SCN-029,,0,0,1,0,0,0,0,0.001172,0.0
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsafe_payload_path,composition,fixed-rule-repair,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.050668,0.24494
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsafe_payload_path,composition,ablation-no-provenance,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.037502,0.222995
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsafe_payload_path,composition,ablation-no-task-validator,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.046285,0.247976
B-CPU-DETREp-0001,fb93389,challenge,pin_insertion__v001,unsafe_payload_path,composition,ablation-fixed-repair-order,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.047876,0.254823
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsupported_generated_friction,provenance,direct-conversion,0,CSR-SCN-023,,0,0,1,0,0,0,0,0.00113,0.0
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsupported_generated_friction,provenance,fixed-rule-repair,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.054907,0.250393
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsupported_generated_friction,provenance,ablation-no-provenance,0,CSR-SCN-023,,0,0,1,0,0,1,0,0.035617,0.208063
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsupported_generated_friction,provenance,ablation-no-task-validator,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.048655,0.263215
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsupported_generated_friction,provenance,ablation-fixed-repair-order,0,CSR-SCN-023,CSR-SCN-023,1,0,0,1,0,0,1,0.049949,0.271409
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,direct-conversion,0,CSR-SCN-029,,0,0,1,0,0,0,0,0.001048,0.0
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,fixed-rule-repair,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.051136,0.269319
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,ablation-no-provenance,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.039409,0.244564
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,ablation-no-task-validator,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.047191,0.250421
B-CPU-DETREp-0001,fb93389,challenge,sequential_assembly__v001,unsafe_payload_path,composition,ablation-fixed-repair-order,0,CSR-SCN-029,CSR-SCN-029,1,0,0,1,1,0,0,0.053787,0.267498
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,direct-conversion,0,CSR-SCN-001,,0,0,1,0,0,0,0,0.001713,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,fixed-rule-repair,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.076873,0.2744
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,ablation-no-provenance,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.041451,0.228894
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,ablation-no-task-validator,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.046889,0.243615
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_up_axis,spatial,ablation-fixed-repair-order,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.048738,0.245225
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,direct-conversion,0,CSR-SCN-002,,0,0,1,0,0,0,0,0.001188,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,fixed-rule-repair,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.048892,0.249896
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,ablation-no-provenance,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.035377,0.218045
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,ablation-no-task-validator,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.045558,0.241447
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,wrong_units,spatial,ablation-fixed-repair-order,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.047024,0.244354
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,direct-conversion,0,CSR-SCN-003,,0,0,1,0,0,0,0,0.001251,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,fixed-rule-repair,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.049477,0.254849
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,ablation-no-provenance,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.03668,0.224374
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,ablation-no-task-validator,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.047099,0.24891
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_ifc_guid,identity,ablation-fixed-repair-order,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.050451,0.256651
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,direct-conversion,0,CSR-SCN-005|CSR-SCN-029,,0,0,2,0,0,0,0,0.001159,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,fixed-rule-repair,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.050254,0.25491
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,ablation-no-provenance,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.036482,0.233109
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,ablation-no-task-validator,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.047244,0.255704
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_workzone_payload,composition,ablation-fixed-repair-order,0,CSR-SCN-005|CSR-SCN-029,CSR-SCN-005|CSR-SCN-029,2,0,0,1,1,0,0,0.04896,0.258131
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,direct-conversion,0,CSR-SCN-008|CSR-SCN-028,,0,0,2,0,0,0,0,0.001083,0.0
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,fixed-rule-repair,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.053976,0.272302
B-CPU-DETREp-0001,fb93389,development,connection_plate_positioning,missing_target_component,task,ablation-no-provenance,0,CSR-SCN-008|CSR-SCN-028,CSR-SCN-008|CSR-SCN-028,2,0,0,1,1,0,0,0.037282,0.238952
