case_id,scenario,layer_condition,active_prims,peak_cpu_mb,peak_gpu_mb,load_time_s,collision_query_ms
connection_plate_positioning__v001__task_activated,connection_plate_positioning,task_activated,22,0.0,0,0.00171,
connection_plate_positioning__v001__all_loaded,connection_plate_positioning,all_loaded,28,0.0,0,0.001362,
pin_insertion__v001__task_activated,pin_insertion,task_activated,22,0.0,0,0.001441,
pin_insertion__v001__all_loaded,pin_insertion,all_loaded,28,0.0,0,0.001487,
sequential_assembly__v001__task_activated,sequential_assembly,task_activated,24,0.0,0,0.001534,
sequential_assembly__v001__all_loaded,sequential_assembly,all_loaded,30,0.0,0,0.001384,
scale_1zones__task_activated,scale_1zones,task_activated,15,0,0,0.001369,
scale_1zones__all_loaded,scale_1zones,all_loaded,15,0,0,0.001192,
scale_5zones__task_activated,scale_5zones,task_activated,31,0,0,0.002479,
scale_5zones__all_loaded,scale_5zones,all_loaded,55,0,0,0.002463,
scale_10zones__task_activated,scale_10zones,task_activated,51,0,0,0.001949,
scale_10zones__all_loaded,scale_10zones,all_loaded,105,0,0,0.004423,
scale_20zones__task_activated,scale_20zones,task_activated,91,0,0,0.007272,
scale_20zones__all_loaded,scale_20zones,all_loaded,205,0,0,0.004458,
