case_id,scenario,task_level,method,seed,readiness_score,planning_success,grasp_success,alignment_success,insertion_success,full_task_success,failure_cause,geometric_valid
none__s42__e000__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e001__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e002__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e003__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e004__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e005__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e006__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e007__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e008__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e009__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e010__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e011__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,misalignment,0
none__s42__e012__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,0,0,insufficient_depth,0
none__s42__e013__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e014__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,1
none__s42__e015__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e016__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
none__s42__e017__ep0,g1_steel_bolt_insertion,fixed_base,rl-insertion-policy,42,1.0,,,,1,1,,0
