bibtex_key,doi,bib_title,crossref_title,bib_year,crossref_year,title_similarity,status,error
afaq2026steel,10.1016/j.autcon.2026.107107,Robotics and {AI} for prefabrication of steel building components: Systematic review and future roadmap,Robotics and AI for prefabrication of steel building components: Systematic review and future roadmap,2026,2026,1.000,verified,
ahn2022saycan,,"Do as I can, not as I say: Grounding language in robotic affordances",,2023,,,no_doi,
akhavian2026bim2rdt,10.1016/j.autcon.2026.107134,Semantic-Gravity Iterative Closest Point and {AI}-assisted navigation for Robot-Ready Construction Digital Twins,Semantic-Gravity Iterative Closest Point and AI-assisted navigation for Robot-Ready Construction Digital Twins,2026,2026,1.000,verified,
amani2025pathfinding,10.1007/s41693-025-00161-1,"Safe and trustworthy robot pathfinding with {BIM}, {MHA*}, and {NLP}","Safe and trustworthy robot pathfinding with BIM, MHA*, and NLP",2025,2025,1.000,verified,
anane2023interoperability,10.37256/dmt.3120231856,Building Information Modeling ({BIM}) and robotic manufacturing technological interoperability in construction: A cyclic systematic literature review,Building Information Modeling (BIM) and Robotic Manufacturing Technological Interoperability in Construction – A Cyclic Systematic Literature Review,2023,2023,1.000,verified,
ardiny2015review,10.1109/icrom.2015.7367821,Construction automation with autonomous mobile robots: A review,Construction automation with autonomous mobile robots: A review,2015,2015,1.000,verified,
bahreini2024ontology,10.3390/buildings14082274,Ontology for {BIM}-based robotic navigation and inspection tasks,Ontology for BIM-Based Robotic Navigation and Inspection Tasks,2024,2024,1.000,verified,
bock2015future,10.1016/j.autcon.2015.07.022,The future of construction automation: Technological disruption and the upcoming ubiquity of robotics,The future of construction automation: Technological disruption and the upcoming ubiquity of robotics,2015,2015,1.000,verified,
boje2020semantic,10.1016/j.autcon.2020.103179,Towards a semantic Construction Digital Twin: Directions for future research,Towards a semantic Construction Digital Twin: Directions for future research,2020,2020,1.000,verified,
brohan2023rt2,,{RT-2}: Vision-language-action models transfer web knowledge to robotic control,,2023,,,no_doi,
chen2023inspection,10.1016/j.aei.2022.101838,Automated facility inspection using robotics and {BIM}: A knowledge-driven approach,Automated facility inspection using robotics and BIM: A knowledge-driven approach,2023,2023,1.000,verified,
chen2026agenticreal2sim,,Agentic {Real2Sim}: Physics-Based World Modeling with Vision-Language Agents,,2026,,,no_doi,
davila2019challenges,10.1016/j.jobe.2019.100868,Robotics and automated systems in construction: Understanding industry-specific challenges for adoption,Robotics and automated systems in construction: Understanding industry-specific challenges for adoption,2019,2019,1.000,verified,
dawod2019recognition,10.1007/s41693-019-00021-9,{BIM}-assisted object recognition for the on-site autonomous robotic assembly of discrete structures,BIM-assisted object recognition for the on-site autonomous robotic assembly of discrete structures,2019,2019,1.000,verified,
ding2020brick,10.1016/j.aei.2019.100993,{BIM}-based task-level planning for robotic brick assembly through image-based 3D modeling,BIM-based task-level planning for robotic brick assembly through image-based 3D modeling,2020,2020,1.000,verified,
driess2023palme,,{PaLM-E}: An embodied multimodal language model,,2023,,,no_doi,
elsevierAIC,,Automation in Construction: Aims and Scope,,2026,,,no_doi,
frasheri2023safer,10.1109/mmar58394.2023.10242467,Building safer robots: From simulation to hardware deployment,Building Safer Robots: From Simulation to Hardware Deployment,2023,2023,1.000,verified,
gao2022assembly,10.1016/j.autcon.2022.104370,{BIM}-based task and motion planning prototype for robotic assembly of {COVID-19} hospitalisation light weight structures,BIM-based task and motion planning prototype for robotic assembly of COVID-19 hospitalisation light weight structures,2022,2022,1.000,verified,
gopee2023navigation,10.1007/s41693-023-00112-8,Improving autonomous robotic navigation using {IFC} files,Improving autonomous robotic navigation using IFC files,2023,2023,1.000,verified,
huang2022innermonologue,,Inner monologue: Embodied reasoning through planning with language models,,2023,,,no_doi,
ifc43,,Industry Foundation Classes 4.3,,2026,,,no_doi,
ifcopenshellDocs,,IfcOpenShell 0.8.5 Documentation,,2026,,,no_doi,
kannan2023smartllm,,{SMART-LLM}: Smart multi-agent robot task planning using large language models,,2023,,,no_doi,
kim2021bimrobot,10.1016/j.autcon.2021.103720,Development of {BIM}-integrated construction robot task planning and simulation system,Development of BIM-integrated construction robot task planning and simulation system,2021,2021,1.000,verified,
kim2022semantic,10.1016/j.autcon.2022.104247,{BIM}-based semantic building world modeling for robot task planning and execution in built environments,BIM-based semantic building world modeling for robot task planning and execution in built environments,2022,2022,1.000,verified,
liang2023code,10.1109/icra48891.2023.10160591,Code as policies: Language model programs for embodied control,Code as Policies: Language Model Programs for Embodied Control,2023,2023,1.000,verified,
lin2025asp,10.24963/ijcai.2025/509,Improving efficiency of answer set planning with rough solutions from large language models for robotic task planning,Improving Efficiency of Answer Set Planning with Rough Solutions from Large Language Models for Robotic Task Planning,2025,2025,1.000,verified,
makoviychuk2021isaacgym,,Isaac Gym: High performance {GPU}-based physics simulation for robot learning,,2021,,,no_doi,
melenbrink2020onsite,10.1016/j.autcon.2020.103312,On-site autonomous construction robots: Towards unsupervised building,On-site autonomous construction robots: Towards unsupervised building,2020,2020,1.000,verified,
moura2021localization,10.1109/icarsc52212.2021.9429779,{BIM}-based localization and mapping for mobile robots in construction,BIM-based Localization and Mapping for Mobile Robots in Construction,2021,2021,1.000,verified,
nvidiaSimReadyFAQ,,SimReady FAQ,,2026,,,no_doi,
nvidiaSimReadyWorkflow,,The SimReady Standardization Workflow,,2026,,,no_doi,
odugu2025review,10.26599/jic.2025.9180103,"{BIM}-driven robotics in construction: A systematic review of integration methods, applications, and future directions","BIM-Driven Robotics in Construction: A Systematic Review of Integration Methods, Applications, and Future Directions",2025,2025,1.000,verified,
openUSD,,OpenUSD Documentation,,2026,,,no_doi,
oyediran2025fourdbim,10.36680/j.itcon.2025.015,Integration of 4D {BIM} and robot task planning: Creation and flow of construction-related information for action-level simulation of indoor wall frame installation,Integration of 4D BIM and Robot Task Planning: Creation and Flow of Construction-Related Information for Action-Level Simulation of Indoor Wall Frame Installation,2025,2025,1.000,verified,
petersen2019collective,10.1126/scirobotics.aau8479,A review of collective robotic construction,A review of collective robotic construction,2019,2019,1.000,verified,
ren2025ifcusd,10.3390/buildings15244503,From Building Deliverables to Open Scene Description: A Pipeline for Lifecycle 3D Interoperability,From Building Deliverables to Open Scene Description: A Pipeline for Lifecycle 3D Interoperability,2025,2025,1.000,verified,
sacks2020digitaltwin,10.1017/dce.2020.16,Construction with digital twin information systems,Construction with digital twin information systems,2020,2020,1.000,verified,
sferrazza2024humanoidbench,10.15607/rss.2024.xx.061,HumanoidBench: Simulated humanoid benchmark for whole-body locomotion and manipulation,HumanoidBench: Simulated Humanoid Benchmark for Whole-Body Locomotion and Manipulation,2024,2024,1.000,verified,
singh2023progprompt,10.1109/icra48891.2023.10161317,ProgPrompt: Generating situated robot task plans using large language models,ProgPrompt: Generating Situated Robot Task Plans using Large Language Models,2023,2023,1.000,verified,
tobin2017domain,10.1109/iros.2017.8202133,Domain randomization for transferring deep neural networks from simulation to the real world,Domain randomization for transferring deep neural networks from simulation to the real world,2017,2017,1.000,verified,
todorov2012mujoco,10.1109/iros.2012.6386109,{MuJoCo}: A physics engine for model-based control,MuJoCo: A physics engine for model-based control,2012,2012,1.000,verified,
tuomisto2026inspection,10.1016/j.autcon.2025.106571,Automating on-site object inspection with a quadruped robot and {BIM},Automating on-site object inspection with a quadruped robot and BIM,2026,2026,1.000,verified,
vaha2013automation,10.1016/j.autcon.2013.08.002,Extending automation of building construction: Survey on potential sensor technologies and robotic applications,Extending automation of building construction — Survey on potential sensor technologies and robotic applications,2013,2013,1.000,verified,
wang2024closeddt,10.1016/j.compind.2024.104112,Enabling Building Information Model-driven human-robot collaborative construction workflows with closed-loop digital twins,Enabling Building Information Model-driven human-robot collaborative construction workflows with closed-loop digital twins,2024,2024,1.000,verified,
wang2026embodiedgenv2,,"{EmbodiedGen V2}: An Agentic, Simulation-Ready 3D World Engine for Embodied {AI}",,2026,,,no_doi,
